,apparent_elevation,azimuth,ghi,dhi,efficiency,surface_fraction,efficiency_corrected
2020-09-13 12:30:00+00:00,40.6220054832985,198.8364779616127,595.1760490186821,125.9827803739708,0.1953125,0.7659184587028721,89.03443791430743
2020-09-13 13:00:00+00:00,38.74647939304634,208.2588850464725,566.463843097948,123.2729520751713,0.1953125,0.7356581206359429,81.39135277766604
2020-09-13 13:30:00+00:00,36.21396644557996,217.14072203671964,526.5959892159884,119.35150561641882,0.234375,0.6935098972892794,85.59363993612342
2020-09-13 14:00:00+00:00,33.123658108202854,225.43475281561126,476.3917488161946,114.10831743513887,0.2421875,0.6401967500857789,73.86342132932865
2020-09-13 14:30:00+00:00,29.575795872312302,233.15601706776852,416.9329165020275,107.36071956993908,0.1953125,0.5766348089755743,46.95664700444838
2020-09-13 15:00:00+00:00,25.664101810253964,240.3604684023222,349.6046862014306,98.80740089750168,0.1640625,0.5039192006769384,28.9033030819865
2020-09-13 15:30:00+00:00,21.472635804233835,247.12605350850987,276.19594874190227,87.94855451929445,0.2109375,0.4233086543495588,24.661997310670532
2020-09-13 16:00:00+00:00,17.0759189584515,253.53956167913898,199.15260252616818,73.95455578372547,0.1953125,0.3362122539608368,13.07764558154095
2020-09-13 16:30:00+00:00,12.541637129939721,259.6890385127764,122.26775289552559,55.518065835170326,0.125,0.2441897691935477,3.7320667949215145
2020-09-13 17:00:00+00:00,7.9380410167842035,265.66026383688364,52.76213772280461,31.295706793211927,0.046875,0.14901817261866518,0.3685555006362508
2020-09-13 17:30:00+00:00,3.3676622361737625,271.53575124384247,7.11920229309317,5.906341364672213,0.015625,0.05320466244928068,0.00591835554550261
2020-09-14 05:30:00+00:00,2.3481796356264324,87.42395847460972,2.7300114008888805,2.4329439758204234,0.0390625,0.032551428491215624,0.0034713191756342884
2020-09-14 06:00:00+00:00,6.866485352442355,93.30075134085837,39.30500093739696,25.005210597613353,0.1171875,0.1276662372362522,0.5880376844818167
2020-09-14 06:30:00+00:00,11.459150327656484,99.256858678862,105.16304454672763,50.31410326573994,0.1875,0.22302737011851376,4.397669486046147
2020-09-14 07:00:00+00:00,15.99720081532465,105.37384288713058,180.955887241484,69.87500413538922,0.2109375,0.3156576863172822,12.048774614747826
2020-09-14 07:30:00+00:00,20.40932781421956,111.73630495581352,258.0603812342852,84.65720757129246,0.2109375,0.40369786877577335,21.97513671744611
2020-09-14 08:00:00+00:00,24.628246054042567,118.43113702922257,332.18131654148635,96.0666877419918,0.2109375,0.485551394359441,34.02234170723113
2020-09-14 08:30:00+00:00,28.58095896175099,125.54451935755264,400.6588011077909,105.0265893776193,0.171875,0.5597786067926386,38.548163754947026
2020-09-14 09:00:00+00:00,32.185476722170876,133.15521519144295,461.5902144915802,112.09467774172151,0.2734375,0.6250890053297059,78.89628032520596
2020-09-14 09:30:00+00:00,35.35024846126456,141.32267450294208,513.5152185995602,117.60640258205929,0.1328125,0.6803528698112468,46.40090933844788
2020-09-14 10:00:00+00:00,37.97665365306028,150.06946695005269,555.292755841892,121.76470267057192,0.2265625,0.7246165370734899,91.16293047034576
2020-09-14 10:30:00+00:00,39.96565189065246,159.36057198975573,586.0510408885182,124.69201029556116,0.171875,0.7571169297496042,76.26251269210657
2020-09-14 11:00:00+00:00,41.22903990307442,169.0871096911476,605.1674643108108,126.46007935992128,0.203125,0.7772937479163774,95.54855506040015
2020-09-14 11:30:00+00:00,41.70364986536344,179.06619771885607,612.2611023064213,127.10682146226921,0.125,0.7847986322856322,60.06270946147162
2020-09-14 12:00:00+00:00,41.36405234052489,189.06559453078307,607.1903351584269,126.64501184187316,0.2109375,0.7795009213274028,99.8378632287608
2020-09-14 12:30:00+00:00,40.228275046960405,198.8488121880121,590.0523630441847,125.06520992145876,0.2734375,0.7614898229535129,122.8606283701065
